rank,id,title,rating_count
1,363185,Fight Club,186236
2,445539,Pulp Fiction,176115
3,475251,2001 : L'Odyssée de l'espace,47052
4,494050,Blade Runner,52006
5,388583,Interstellar,92058
6,408443,Le Parrain,53779
7,408277,Forrest Gump,118123
8,481351,Le Seigneur des Anneaux : Le Retour du roi,89904
9,419456,"The Dark Knight, le chevalier noir",100537
10,368376,"Le Bon, la Brute et le Truand",44449
11,471143,Inception,171451
12,373525,Orange mécanique,72033
13,387452,Le Seigneur des Anneaux : La Communauté de l'anneau,103449
14,488421,Apocalypse Now,44678
15,433183,Eternal Sunshine of the Spotless Mind,58414
16,442615,L'Empire contre-attaque,65882
17,444625,Old Boy,47547
18,376627,Princesse Mononoké,63883
19,411899,Mulholland Drive,36223
20,382239,Matrix,98818
21,370300,Retour vers le futur,82196
22,370894,12 hommes en colère,40371
23,1367079,Le Voyage de Chihiro,74459
24,804173,Il était une fois en Amérique,23297
25,447958,Vol au-dessus d'un nid de coucou,53184
26,477776,Into the Wild,66749
27,393373,Shining,87180
28,430683,Gladiator,63370
29,459080,Seven,89244
30,390938,Drive,74879
31,454350,The Big Lebowski,59831
32,414626,Les Évadés,43978
33,447001,Les Affranchis,39735
34,440893,Il était une fois dans l'Ouest,33324
35,372138,La Ligne verte,70623
36,435660,Alien : Le 8ème Passager,50751
37,432630,Django Unchained,120998
38,399294,American Beauty,53225
39,430335,Reservoir Dogs,63303
40,11103037,Mommy,40633
41,405140,Shutter Island,110732
42,497324,Barry Lyndon,25340
43,471803,Le Seigneur des Anneaux : Les Deux Tours,74004
44,369619,Kill Bill : Volume 1,97336
45,494347,Jurassic Park,67597
46,467266,Taxi Driver,45318
47,480573,Donnie Darko,37205
48,466346,Requiem for a Dream,66551
49,390881,Usual Suspects,50960
50,392288,American History X,55703
51,397129,Brazil,24385
52,1316195,V pour Vendetta,57454
53,481959,Edward aux mains d'argent,66926
54,378011,"Snatch, tu braques ou tu raques",48510
55,365132,La Guerre des Étoiles,62983
56,388285,Inglourious Basterds,143304
57,372017,La vie est belle,47876
58,422876,La Liste de Schindler,45642
59,406497,Le Fabuleux Destin d'Amélie Poulain,70104
60,415454,The Truman Show,74477
61,472876,Lost in Translation,43408
62,486492,Le Tombeau des lucioles,44659
63,493753,Big Fish,49459
64,488559,Bienvenue à Gattaca,43689
65,378648,Le Parrain : 2e Partie,31967
66,1301677,Her,62430
67,484187,Le Prestige,47886
68,389355,Mr. Nobody,28881
69,414447,Titanic,93942
70,473176,Memento,45824
71,493364,Gran Torino,66190
72,11913569,La La Land,46743
73,409839,Monty Python : Sacré Graal !,38967
74,451324,Les Sept Samouraïs,15260
75,455599,Le Château ambulant,45799
76,719994,Stalker,8637
77,363161,Le Cercle des poètes disparus,44661
78,10777058,Whiplash,54573
79,495890,Léon,61539
80,395690,La Cité de la peur,58680
81,480435,Mad Max : Fury Road,62707
82,443200,Sueurs froides,22235
83,376439,Voyage au bout de l'enfer,18893
84,493747,Le Roi Lion,65680
85,481802,Psychose,41281
86,497643,The Grand Budapest Hotel,63739
87,442591,Full Metal Jacket,53831
88,380343,Le Silence des agneaux,58157
89,1324648,Trainspotting,45454
90,472094,La Haine,44861
91,377216,La Ligne rouge,18610
92,435721,Black Swan,66311
93,492468,Terminator 2 : Le Jugement dernier,36836
94,396341,Le Cinquième Élément,67962
95,391814,L'Armée des 12 singes,41726
96,421236,Cloud Atlas,34587
97,448558,The Thing,26458
98,482589,Les Fils de l'homme,33286
99,381184,"The Tree of Life, l'Arbre de vie",23990
100,466023,Heat,27131
